Nom,Dosage,Forme,DCI,Classe,Sous Classe,Indications,G/P/B
PREVOC,250 MG,Comprimé pelliculé,TICLOPIDINE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"- Prévention des complications thrombotiques artérielles (accident
vasculaire cérébral,infarctus du myocarde, mort de cause vasculaire)
après un premier accident ischémique cérébral lié à l'athérosclérose.
- prévention des accidents ischémiques majeu",Générique
PRIFAL ENFANT,,Solution buvable,PRIFINIUM,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Atteinte fonctionnelle spasmodique de l'axe digestif du nourrisson et
de l'enfant et en particulier vomissements, syndromes douloureux
abdominaux;
Traitement complémentaire des thérapeutiques étiologiques des maladies
digestives organiques.",Générique
PRILIA,5%,Creme dermique,LIDOCAINE+PRILOCAINE,SYSTEME NERVEUX,ANESTHESIQUES,"PRILIA crème est indiquée pour :
· L'anesthésie topique de la peau lors de :
. l'insertion d'aiguilles, par exemple insertion de cathéters
intraveineux ou prélèvements sanguins;
. procédures chirurgicales superficielles ;
Chez les adultes et dans la",Générique
PRILIA,5%,Creme dermique,LIDOCAINE+PRILOCAINE,SYSTEME NERVEUX,ANESTHESIQUES,"PRILIA crème est indiquée pour :
· L'anesthésie topique de la peau lors de :
. l'insertion d'aiguilles, par exemple insertion de cathéters
intraveineux ou prélèvements sanguins ;
. procédures chirurgicales superficielles ;
Chez les adultes et dans la",Générique
PRILIA,5%,Creme dermique,LIDOCAINE+PRILOCAINE,SYSTEME NERVEUX,ANESTHESIQUES,"PRILIA crème dermique est indiquée pour :
· L'anesthésie topique de la peau lors de :
. l'insertion d'aiguilles, par exemple insertion de cathéters
intraveineux ou prélèvements sanguins;
. procédures chirurgicales superficielles ;
Chez les adultes et",Générique
PRILIGY,60 mg,Comprimé pelliculé,DAPOXETINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,MEDICAMENTS UROLOGIQUES,"PRILIGY est indiqué dans le traitement de l'éjaculation précoce (EP)
chez les hommes âgés de 18 à 64 ans.
PRILIGY doit uniquement être prescrit aux patients regroupant tous les
critères suivants:
- Temps de latence d'éjaculation intravaginale (IELT)",Princeps
PRILIGY,30 mg,Comprimé pelliculé,DAPOXETINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,MEDICAMENTS UROLOGIQUES,"PRILIGY est indiqué dans le traitement de l'éjaculation précoce (EP)
chez les hommes âgés de 18 à 64 ans.
PRILIGY doit uniquement être prescrit aux patients regroupant tous les
critères suivants:
- Temps de latence d'éjaculation intravaginale (IELT)",Princeps
PRILOCALM,5%,Creme dermique,LIDOCAINE+PRILOCAINE,SYSTEME NERVEUX,ANESTHESIQUES,"Calmine crème est indiquée pour :
* L'anesthésie topique de la peau lors de:
- L'insertion d'aiguilles, par exemple insertion de cathéters
intraveineux ou prélèvements sanguins.
- Procédures chirurgicales superficielles.
Chez les adultes et dans la p",Générique
PRIMACAINE ADRÉNALINE,1/100000,Solution injectable,ARTICAINE+ADRENALINE,SYSTEME NERVEUX,ANESTHESIQUES,"- Anesthésie locale ou loco-régionale en pratique
odonto-stomatologique.
Cette présentation est particulièrement adaptée pour les interventions
nécessitant une forte ischémie.",Princeps
PRIMACAINE ADRÉNALINE,1/200000,Solution injectable,ARTICAINE+ADRENALINE,SYSTEME NERVEUX,ANESTHESIQUES,"- Anesthésie locale ou loco-régionale en pratique
odonto-stomatologique.",Princeps
PRIMAGAL,500 mg/500 mg,Poudre pour solution injectable,IMIPENEM+CILASTATINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"PRIMAGAL est indiqué pour le traitement des infections sévères dues
aux germes sensibles à l'imipimène notamment dans leurs
manifestations:
- abdominales;
- broncho-pulmonaires;
- gynécologiques;
- génito-urinaires;
- ostéo-articulaires;
- cutanées e",Générique
PRIMALAN,0.03%,Sirop,MEQUITAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Traitement symptomatique des manifestations allergiques de l'adulte et
de l'enfant de plus de 2 ans:
- Rhinite allergique (saisonnière ou perannuelle),
- Conjonctivite
- Urticaire.",Princeps
PRIMALAN,5 mg,Comprimé sécable,MEQUITAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Primalan 5mg, comprimé sécable est indiqué chez les adultes et enfants
à partir de 6 ans.
Traitement symptomatique des manifestations allergiques:
- Rhinite allergique (saisonnière ou perannuelle),
- Conjonctivite
- Urticaire.",Princeps
PRIMALAN,5 MG,Comprimé sécable,MEQUITAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Traitement symptomatique des manifestations allergiques diverses:
rhinite spasmodique , rhinite allergique (périodique ou apériodique),
conjonctivite, oedème de quincke,urticaire.
Traitement adjuvant symptomatique des affections dermatologiques
pruri",Princeps
PRIMALAN FORT.,10 mg,Comprimé sécable,MEQUITAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Traitement symptomatique des manifestations allergiques chez l'adulte:
- Rhinite allergique (saisonnière ou perannuelle),
- Conjonctivite
- Urticaire.",Princeps
PRIMALAN FORT.,10 MG,Comprimé sécable,MEQUITAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Traitement symptomatique des manifestations allergiques diverses:
rhinite allergique (périodique ou apériodique), conjonctivite,
urticaire.",Princeps
PRIMAPRED,20 mg,Comprimé orodispersible sécable,PREDNISOLONE,"HORMONES SYSTEMIQUES, HORMONES SEXUELLES EXCLUES",CORTICOSTEROIDES (USAGE SYSTEMIQUE),"Affections ou maladies :
Collagénoses, connectivites :
Poussées évolutives de maladies systémiques, notamment : lupus
érythémateux disséminé, vascularite, polymyosite, sarcoïdose
viscérale.
Dermatologiques :
Dermatoses bulleuses auto-immunes sévères,",Générique
PRIMAPRED,20 mg,Comprimé orodispersible sécable,PREDNISOLONE,"HORMONES SYSTEMIQUES, HORMONES SEXUELLES EXCLUES",CORTICOSTEROIDES (USAGE SYSTEMIQUE),"Affections ou maladies :
Collagénoses, connectivites :
Poussées évolutives de maladies systémiques, notamment : lupus
érythémateux disséminé, vascularite, polymyosite, sarcoïdose
viscérale.
Dermatologiques :
Dermatoses bulleuses auto-immunes sévères,",Générique
PRIMAPRED,20 mg,Comprimé orodispersible sécable,PREDNISOLONE,"HORMONES SYSTEMIQUES, HORMONES SEXUELLES EXCLUES",CORTICOSTEROIDES (USAGE SYSTEMIQUE),"Affections ou maladies :
Collagénoses, connectivites :
Poussées évolutives de maladies systémiques, notamment : lupus
érythémateux disséminé, vascularite, polymyosite, sarcoïdose
viscérale.
Dermatologiques :
Dermatoses bulleuses auto-immunes sévères,",Générique
PRIMOLUT-NOR,10 mg,Comprimé sécable,NORETHISTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"TROUBLES LIES A UNE INSUFFISANCE EN PROGESTERONE ET NOTAMMENT CEUX
OBSERVES EN PERIODE PREMENOPAUSIQUE (IRREGULARITES
MENSTRUELLES,SYNDROME PREMENSTRUEL,MASTODYNIE...)
HEMORRAGIES FONCTIONNELLES ET MENORRAGIES ACCOMPAGNANT LES FIBROMES.
ENDOMETRIOSE.",Princeps
PRIMPERAN,10 MG,Solution injectable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"* Population adulte
PRIMPERAN 10 mg/2ml solution injectable en ampoule est indiqué chez
l'adulte dans :
- la prévention des nausées et vomissements post-opératoires.
- le traitement symptomatique des nausées et vomissements, incluant
les nausées et v",Princeps
PRIMPERAN,10 MG,Comprimé sécable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Population adulte
PRIMPERAN 10 mg comprimé sécable est indiqué chez l'adulte dans :
· la prévention des nausées et vomissements retardés induits par les
antimitotiques
· la prévention des nausées et vomissements induits par une
radiothérapie
· le tra",Princeps
PRIMPERAN,0.10%,Solution buvable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Traitement symptomatique des nausées et vomissements à l'exception de
ceux induits par les antimitotiques.",Princeps
PRIMPERAN,10 MG,Solution injectable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"* Population adulte
PRIMPERAN 10 mg/2ml solution injectable en ampoule est indiqué chez
l'adulte dans :
- la prévention des nausées et vomissements post-opératoires.
- le traitement symptomatique des nausées et vomissements, incluant
les nausées et v",Princeps
PRIMPERAN,10 mg,Comprimé sécable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Traitement symptomatique des nausées et vomissements y compris les
nausées et vomissements retardés induits par les antimitotiques.",Princeps
PRIMPERAN,0.10%,Solution buvable,METOCLOPRAMIDE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"Traitement symptomatique des nausées et vomissements à l'exception de
ceux induits par les antimitotiques.",Princeps
PRIORIX,,Pdre p.prep.injectable,VACCIN R+O+RU,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,VACCINS,"PRIORIX est indiqué pour l'immunisation active contre la rougeole, les
oreillons et la rubéole chez les enfants agés de 9 mois et plus, les
adolescents et les adultes.",Princeps
PRIVIGEN (10 GR),10%,Solution injectable pour perfusion,IMMUNOGLOBULINE HUMAINE POLYVALENTE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,SERUMS IMMUNISANTS ET IMMUNOGLOBULINES,"Traitement de substitution des :
- déficits immunitaires primitifs (DIP) tels que :
*  agammaglobulinémie et hypogammaglobulinémie congénitales,
*  déficit immunitaire commun variable,
*  déficit immunitaire combiné sévère,
*  syndrome de Wiskott Ald",Princeps
PRIVIGEN (2.5GR),10%,Solution injectable pour perfusion,IMMUNOGLOBULINE HUMAINE POLYVALENTE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,SERUMS IMMUNISANTS ET IMMUNOGLOBULINES,"Traitement de substitution des :
- déficits immunitaires primitifs (DIP) tels que :
*  agammaglobulinémie et hypogammaglobulinémie congénitales,
*  déficit immunitaire commun variable,
*  déficit immunitaire combiné sévère,
*  syndrome de Wiskott Ald",Princeps
PRIVIGEN (5 GR),10%,Solution injectable pour perfusion,IMMUNOGLOBULINE HUMAINE POLYVALENTE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,SERUMS IMMUNISANTS ET IMMUNOGLOBULINES,"Traitement de substitution des :
- déficits immunitaires primitifs (DIP) tels que :
*  agammaglobulinémie et hypogammaglobulinémie congénitales,
*  déficit immunitaire commun variable,
*  déficit immunitaire combiné sévère,
*  syndrome de Wiskott Ald",Princeps
PRIZMA,4 gr/500 mg,Pdre p.prep.injectable,PIPERACILLINE+TAZOBACTAM,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"PRIZMA est indiqué dans le traitement des infections suivantes chez
les adultes et les enfants de plus de 2 ans:Adultes et adolescents
· Pneumonies sévères y compris pneumonies acquises à l'hôpital et sous
ventilation mécanique,
· Infections urinaire",Générique
PRIZMA,2 gr/250 mg,Pdre p.prep.injectable,PIPERACILLINE+TAZOBACTAM,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Infections dues aux germes reconnus sensibles, notamment dans leurs
manifestations:
- respiratoires basses;
- urinaires à l'exclusion des prostatites;
- intra-abdominales et biliaires;
- cutanées;
- épisodes fébriles chez les patients neutropéniques,",Générique
PROCARDIN,75 MG,Comprimé,DIPYRIDAMOLE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"Prévention des accidents thromboemboliques systémiques en association
avec les anticoagulants oraux chez les patients porteurs de prothèses
valvulaires",Générique
PROCORALAN,"7,5 mg",Comprimé pelliculé,IVABRADINE,SYSTEME CARDIOVASCULAIRE,THERAPIE CARDIAQUE,"Traitement de l'insuffisance cardiaque chronique de classe NYHA II à
IV avec dysfonction systolique, chez les patients en rythme sinusal et
dont la fréquence cardiaque est supérieure ou égale à 75 bpm, en
association au traitement standard comprenant",Princeps
PROCORALAN,5 mg,Comprimé pelliculé,IVABRADINE,SYSTEME CARDIOVASCULAIRE,THERAPIE CARDIAQUE,"Traitement de l'insuffisance cardiaque chronique de classe NYHA II à
IV avec dysfonction systolique, chez les patients en rythme sinusal et
dont la fréquence cardiaque est supérieure ou égale à 75 bpm, en
association au traitement standard comprenant",Princeps
PROCTOHEAL,,Pommade rectale,BISMUTH+FLUOCINOLONE+LIDOCAINE,SYSTEME CARDIOVASCULAIRE,VASOPROTECTEURS,"HEMORROIDES INTERNES ET EXTERNES, ECZEMA ANAL,PROCTITE,
DOULEUR ANALE EN TRAITEMENT PRE ET POST OPERATOIRE",Générique
PRODUITS HOMEOPATHIQUES UNITAIRES,,Doses homeopathiques,PRODUITS HOMEOPATHIQUES,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,selon chaque médicament homéopathique.,Princeps
PRODYS,100 mg,Comprimé pelliculé,FLURBIPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité anti-inflammatoire du flurbiprofène, de
l'importance des manifestations d'intolérance auxquelles le médicament
donne lieu et de sa place dans l'éventail des produits
anti-inflammatoires actuellement disponibles. Elles so",Générique
PROFENID,100 mg,Comprimé pelliculé,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité antalgique et anti-inflammatoire du
kétoprofène, de l'importance des manifestations d'intolérance
auxquelles le médicament donne lieu, et de sa place dans l'éventail
des produits anti-inflammatoires actuellement disponib",Princeps
PROFENID,100 mg,Comprimé pelliculé,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Elles procèdent de l'activité antalgique et anti-inflammatoire du
kétoprofène, de l'importance des manifestations d'intolérance
auxquelles le médicament donne lieu, et de sa place dans l'éventail
des produits anti-inflammatoires actuellement disponib",Princeps
PROFENID,100 MG,Comprimé pelliculé,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"- TRAITEMENT SYMPTOMATIQUE AU LONG COURS DES RHUMATISMES
INFLAMMATOIRES CHRONIQUES.
- TRAITEMENT SYMPTOMATIQUE DE COURTE DUREE DES POUSSEES
AIGUES DES:
* RHUMATISMES ABARTICULAIRES;
* ARTHRITES MICROCRISTALLINES;
* ARTHROSES;
* LOMBALGIES, RADICULALG",Princeps
PROFENID,100 MG,Comprimé pelliculé,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"- TRAITEMENT SYMPTOMATIQUE AU LONG COURS DES RHUMATISMES
INFLAMMATOIRES CHRONIQUES.
- TRAITEMENT SYMPTOMATIQUE DE COURTE DUREE DES POUSSEES   AIGUES DES:
* RHUMATISMES ABARTICULAIRES;
* ARTHRITES MICROCRISTALLINES;
* ARTHROSES;
* LOMBALGIES,
* RADICU",Princeps
PROFENID IM,100mg/2ML,Solution injectable,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte (plus de 15 ans) au:
- traitement symptomatique de courte durée:
- rhumatismes inflammatoires en poussée;
- lombalgies aigues;
- radiculalgies;
- traitement des algies d'origine néoplasique.
- traitement des crises des coliques nephreti",Princeps
PROFENID IM,100mg/2ML,Solution injectable,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"CHEZ L'ADULTE (PLUS DE 15 ANS) AU:
- TRAITEMENT SYMPTOMATIQUE DE COURTE DUREE:
- RHUMATISMES INFLAMMATOIRES EN POUSSEE;
- LOMBALGIES AIGUES;
- RADICULALGIES;
- TRAITEMENT DES ALGIES D'ORIGINE NEOPLASIQUE.
- TRAITEMENT DES CRISES DES COLIQUES NEPHRETI",Princeps
PROFENID IM,100mg/2ML,Solution injectable,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"CHEZ L'ADULTE (PLUS DE 15 ANS) AU:
- TRAITEMENT SYMPTOMATIQUE DE COURTE DUREE:
- RHUMATISMES INFLAMMATOIRES EN POUSSEE;
- LOMBALGIES AIGUES;
- RADICULALGIES;
- TRAITEMENT DES ALGIES D'ORIGINE NEOPLASIQUE.
- TRAITEMENT DES CRISES DES COLIQUES NEPHRETI",Princeps
PROFENID LP,200 mg,Gélule à libération prolongée,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte et l'enfant à partir de 15 ans, traitement symptomatique
au long cours:
- des rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante (ou syndromes apparentés, tels
que syndrome de Fiessinge",Princeps
PROFENID LP,200 mg,Gélule à libération prolongée,KETOPROFENE,MUSCLE ET SQUELETTE,ANTI-INFLAMMATOIRES ET ANTIRHUMATISMAUX,"Chez l'adulte et l'enfant à partir de 15 ans, traitement symptomatique
au long cours:
- des rhumatismes inflammatoires chroniques, notamment polyarthrite
rhumatoïde, spondylarthrite ankylosante (ou syndromes apparentés, tels
que syndrome de Fiessinge",Princeps
PROGEST 200,200 mg,Suppositoire,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"1/ Traitement du syndrome prémenstruel, notamment la tension
prémenstruelle et la dépression.
2/ Traitement de la dépression puerpérale.",Générique
PROGEST 400,400 mg,Suppositoire,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"PROGEST est indiqué pour le:
1/ Traitement du syndrome prémenstruel, notamment la tension
prémenstruelle et la dépression.
2/ Traitement de la dépression puerpérale.
3/ Le soutien à la phase lutéale dans le cadre d'un traitement de
procréation médica",Générique
PROGESTAN,200 mg,Capsule molle,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Voie orale
Troubles liés à une insuffisance en progestérone en particulier:
· syndrome prémenstruel,
· irrégularités menstruelles par dysovulation ou anovulation,
· mastopathies bénignes,
· préménopause,
· traitement substitutif de la ménopause (en c",Princeps
PROGESTAN,100 mg,Capsule molle,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Voie orale
Troubles liés à une insuffisance en progestérone en particulier:
· syndrome prémenstruel,
· irrégularités menstruelles par dysovulation ou anovulation,
· mastopathies bénignes,
· préménopause,
· traitement substitutif de la ménopause (en c",Princeps
PROGESTERONE MYLAN,100 MG,Capsule molle,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Voie orale :
Troubles liés à une insuffisance en progestérone, en particulier :
- syndrome prémenstruel ;
- irrégularités menstruelles par dysovulation ou anovulation ;
- mastopathies bénignes ;
- préménopause ;
-traitement substitutif de la ménopaus",Générique
PROGESTOGEL,1%,Gel dermique,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"PATHOLOGIES MAMMAIRES BENIGNES:
-MASTODYNIES.
-TRAITEMENT D'APPOINT DES MASTOPATHIES BENIGNES EN
CAS D'INSUFFISANCE EN PROGESTERONE.",Princeps
PROGRAF,1 mg,Gélule,TACROLIMUS,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Immunodépression primaire des receveurs d'allogreffes du foie et du
rein, et des rejets des allogreffes du foie et du rein en cas de
résistance au régime immunodépresseur conventionnel.",Princeps
PROGRAF,5 mg,Gélule,TACROLIMUS,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Immunodépression primaire des receveurs d'allogreffes du foie et du
rein, et des rejets des allogreffes du foie et du rein en cas de
résistance au régime immunodépresseur conventionnel.",Princeps
PROLACT,0.5 mg,Comprimé sécable,CABERGOLINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,AUTRES MEDICAMENTS GYNECOLOGIQUES,"1/Inhibition/suppression de la lactation physiologique:
PROLACT est indiqué pour la prévention de la lactation physiologique
tout de suite après l'accouchement et pour la supression de la
lactation en cours :
- après l'accouchement quand la mère choi",Générique
PROLACT,0.5 mg,Comprimé sécable,CABERGOLINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,AUTRES MEDICAMENTS GYNECOLOGIQUES,"1/Inhibition/suppression de la lactation physiologique:
PROLACT est indiqué pour la prévention de la lactation physiologique
tout de suite après l'accouchement et pour la supression de la
lactation en cours :
- après l'accouchement quand la mère choi",Générique
PROLUTEX,25mg,Solution injectable,PROGESTERONE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,HORMONES SEXUELLES ET MODULATEURS DU SYSTEME GENITAL,"Pour soutenir la phase lutéale au cours d'un traitement d'assistance
médicale à la procréation des femmes adultes infertiles, chez
lesquelles les préparations à administrer par voie vaginale ne peuvent
s'appliquer ou ne sont pas tolérées.",Princeps
PROMETHAZINE,25 mg,Comprimé drageifié,PROMETHAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Traitement symptomatique des manifestations allergiques diverses :
- rhinite (saisonnière ou perannuelle), conjonctivite, urticaire.
- Insomnies occasionnelles.
- Insomnies transitoires.",Générique
PROMETHAZINE,25 MG,Comprimé drageifié,PROMETHAZINE,SYSTEME RESPIRATOIRE,ANTIHISTAMINIQUES (USAGE SYSTEMIQUE),"Isomnies occasionnelles
Isomnies transitoires",Générique
PROPOFOL FRESENIUS,10mg/ml,Emulsion injectable,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"Induction et entretien de l'anesthésie générale.
Sédation des patients ventilés en réanimation.",Générique
PROPOFOL FRESENIUS,10mg/ml,Emulsion injectable,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"Induction et entretien de l'anesthésie générale.
Sédation des patients ventilés en réanimation.",Générique
PROPOFOL FRESENIUS,1%,Emulsion injectable,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"- Induction et entretien de l'anesthésie générale.
- Sédation des patients ventilés en réanimation.",Générique
PROPOFOL KABI 10MG/ML,10 MG/ML,Emulsion injectable pour perfusion,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"a) ANESTHESIE
- Le propofol est un agent anesthésique intraveineux , d'action rapide
,utilisable pour l'induction et l'entretien de l'anesthésie générale .
- Le propofol peut être administré chez l'adulte et chez l'enfant et
chez l'enfant de plus de",Générique
PROPOFOL KABI 10MG/ML,10 MG/ML,Emulsion injectable pour perfusion,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"a) ANESTHESIE
- Le propofol est un agent anesthésique intraveineux , d'action rapide
,utilisable pour l'induction et l'entretien de l'anesthésie générale .
- Le propofol peut être administré chez l'adulte et chez l'enfant et
chez l'enfant de plus de",Générique
PROPOFOL-LIPURO 1%,10 mg/ml,Emulsion injectable,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"Le propofol est un agent anesthésique intraveineux d'action rapide,
utilisable pour
*l'induction et l'entretien de l'anesthésie générale.
*la sédation des patients ventilés en unité de soins intensifs,
*la sédation au cours de procédures diagnostique",Générique
PROPOFOL-LIPURO 1%,10 mg/ml,Emulsion injectable,PROPOFOL,SYSTEME NERVEUX,ANESTHESIQUES,"Le propofol est un agent anesthésique intraveineux d'action rapide,
utilisable pour
*l'induction et l'entretien de l'anesthésie générale.
*la sédation des patients ventilés en unité de soins intensifs,
*la sédation au cours de procédures diagnostique",Générique
PROSPAN,0.7 gr,Sirop,EXTRAIT SEC DE FEUILLE DE LIERRE,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"* Prospan sirop antitussif est un médicament à base de plantes utilisé
lors du traitement des atteintes catarrhales du système respiratoire à
travers ses actions: sécrétolytique, bronchospasmolytique et
antitussive.
* Prospan sirop antitussif  est pr",Princeps
PROSTAM L.P,0.4 mg,Gélule à libération prolongée,TAMSULOSINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,MEDICAMENTS UROLOGIQUES,"Traitement des symptômes fonctionnels de l'hypertrophie bénigne de la
prostate.",Générique
PROSTAM L.P.,0.4 mg,Gélule à libération prolongée,TAMSULOSINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,MEDICAMENTS UROLOGIQUES,"Traitement des symptômes fonctionnels de l'hypertrophie bénigne de la
prostate.",Générique
PROTEKTOR 50,50 mg,Poudre pour solution pour perfusion,FOLINATE DE CALCIUM,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,"· Prévention des accidents toxiques provoqués par le méthotrexate dans
le traitement des leucémies et des tumeurs malignes.
· Prévention et traitement des carences en folates au cours des
grandes malabsorptions et des alimentations parentérales total",Générique
PROTEKTOR200,200 mg,Poudre pour solution pour perfusion,FOLINATE DE CALCIUM,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,"Traitement des cancers colorectaux en association avec le
5-fluorouracile.",Générique
PROTELOS,2 gr,Poudre pour suspension orale,STRONTIUM,MUSCLE ET SQUELETTE,MEDICAMENTS POUR LES MALADIES DES OS,"Traitement de l'ostéoporose sévère :
- Chez la femme ménopausée,
- Chez l'homme adulte,
A risque élevé de fracture, pour lesquels les alternatives
médicamenteuses pour le traitement de l'ostéoporose ne peuvent être
utilisées, par exemple en raison de",Princeps
PROTHROMPLEX TOTAL 600 I.U.,,Pdre p.prep.injectable,FACTEUR IX II VII X,SANG ET ORGANES HEMATOPOIETIQUES,ANTIHEMORRAGIQUES,"- Traitement des saignements et prophylaxie peropératoire des
saignements en cas de deficit acquis en facteurs de coagulation du
complexe prothrombique ( par ex., déficit causé par un traitement par
antivitamine K ou par un surdosage d'antivitamine K",Princeps
PROTOGYL,500 mg,Ovule,METRONIDAZOLE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"- TRAITEMENT LOCAL DES VAGINITES SPECIFIQUES ET VAGINITES A
TRICHOMONAS.",Générique
